Time (s),Distance (m)
0.02,1.04
0.04,1.07
0.06,1.08
0.08,1.11
0.1,1.12
0.12,1.15
0.14,1.17
0.16,1.2
0.18,1.23
0.2,1.25
0.22,1.27
0.25,1.3
0.26,1.32
0.28,1.33
0.3,1.34
0.32,1.35
0.34,1.37
0.36,1.4
0.38,1.43
0.4,1.45
0.42,1.47
0.44,1.48
0.46,1.49
0.49,1.52
0.5,1.55
0.52,1.57
0.54,1.58
0.56,1.6
0.58,1.64
0.6,1.67
0.62,1.68
0.64,1.71
0.66,1.73
0.68,1.76
0.7,1.78
0.72,1.8
0.74,1.84
0.76,1.87
0.78,1.9
0.8,1.93
0.82,1.94
0.84,1.96
0.86,1.98
0.88,2.0
0.9,2.03
0.92,2.03
0.94,2.07
0.96,2.09
0.98,2.13
1.01,2.15
1.02,2.16
1.04,2.17
1.06,2.19
1.08,2.21
1.1,2.24
1.12,2.28
1.14,2.29
1.16,2.32
1.18,2.35
1.2,2.4
1.22,2.43
1.24,2.46
1.26,2.48
1.28,2.51
1.3,2.53
1.32,2.56
1.34,2.57
1.36,2.6
1.38,2.62
1.4,2.66
1.42,2.69
1.44,2.71
1.46,2.73
1.48,2.75
1.5,2.77
1.52,2.79
1.54,2.81
1.56,2.82
1.58,2.82
1.6,2.84
1.62,2.88
1.64,2.9
1.66,2.91
1.68,2.96
1.7,2.97
1.72,2.99
1.74,3.03
1.76,3.06
1.78,3.08
1.8,3.11
1.82,3.13
1.84,3.14
1.86,3.17
1.88,3.2
1.9,3.22
1.92,3.25
1.94,3.27
1.96,3.3
1.98,3.33
2.0,3.35
2.02,3.36
2.04,3.39
2.06,3.4
2.08,3.42
2.1,3.44
2.12,3.46
2.14,3.49
2.16,3.52
2.18,3.54
2.2,3.57
2.22,3.61
2.24,3.63
2.26,3.66
2.28,3.67
2.3,3.7
2.33,3.72
2.34,3.75
2.36,3.77
2.38,3.79
2.4,3.82
2.42,3.84
2.44,3.88
2.46,3.9
2.48,3.93
2.5,3.94
2.52,3.97
2.54,3.98
2.56,4.0
2.58,4.03
2.6,4.05
2.62,4.06
2.64,4.08
2.66,4.1
2.68,4.13
2.7,4.14
2.72,4.17
2.74,4.19
2.76,4.23
2.78,4.25
2.8,4.27
2.82,4.3
2.84,4.31
2.86,4.33
2.88,4.36
2.9,4.38
2.92,4.4
2.94,4.44
2.96,4.46
2.98,4.5
3.0,4.51
3.02,4.53
3.04,4.55
3.06,4.59
3.08,4.61
3.1,4.63
3.12,4.64
3.14,4.67
3.16,4.7
3.18,4.71
3.2,4.74
3.22,4.77
3.24,4.8
3.26,4.8
3.28,4.84
3.3,4.85
3.32,4.89
3.34,4.91
3.36,4.93
3.38,4.95
3.4,4.99
3.42,5.0
3.44,5.02
3.46,5.05
3.48,5.06
3.5,5.08
3.52,5.13
3.54,5.14
3.56,5.16
3.58,5.17
3.6,5.2
3.62,5.22
3.64,5.25
3.66,5.26
3.68,5.28
3.7,5.31
3.72,5.32
3.74,5.32
3.76,5.38
3.78,5.38
3.8,5.4
3.82,5.43
3.84,5.45
3.86,5.45
3.88,5.46
3.9,5.52
3.92,5.54
3.94,5.57
3.96,5.59
3.98,5.6
4.0,5.64
4.02,5.67
4.04,5.68
4.06,5.72
4.08,5.74
4.1,5.76
4.12,5.79
4.14,5.8
4.16,5.82
4.18,5.84
4.2,5.85
4.22,5.88
4.24,5.89
4.26,5.9
4.28,5.94
4.3,5.95
4.32,5.98
4.34,6.02
4.36,6.02
4.38,6.06
4.4,6.06
4.42,6.08
4.44,6.12
4.46,6.12
4.48,6.15
4.5,6.19
4.52,6.22
4.54,6.26
4.56,6.29
4.58,6.3
4.6,6.32
4.62,6.34
4.64,6.36
4.66,6.39
4.68,6.41
4.7,6.42
4.72,6.43
4.74,6.46
4.77,6.48
4.78,6.51
4.8,6.51
4.82,6.54
4.84,6.57
4.86,6.59
4.88,6.62
4.9,6.63
4.92,6.65
4.94,6.67
4.96,6.69
4.98,6.72
5.0,6.74
5.02,6.75
5.04,6.78
5.06,6.81
5.08,6.82
5.1,6.84
5.12,6.9
5.14,6.9
5.16,6.95
5.18,6.97
5.2,7.01
5.22,7.02
5.24,7.04
5.26,7.05
5.28,7.08
5.3,7.1
5.32,7.13
5.34,7.17
5.36,7.18
5.38,7.18
5.4,7.21
5.42,7.25
5.44,7.26
5.46,7.27
5.48,7.28
5.5,7.32
5.52,7.35
5.54,7.36
5.56,7.39
5.58,7.41
5.6,7.42
5.62,7.44
5.64,7.49
5.66,7.49
5.68,7.54
5.7,7.55
5.72,7.58
5.74,7.59
5.76,7.63
5.78,7.65
5.8,7.67
5.82,7.68
5.84,7.69
5.86,7.71
5.88,7.74
5.9,7.75
5.92,7.78
5.94,7.79
5.96,7.84
5.98,7.85
6.0,7.86
6.02,7.88
6.04,7.9
6.06,7.93
6.08,7.94
6.1,7.97
6.12,7.98
6.14,8.01
6.16,8.03
6.18,8.06
6.2,8.07
6.22,8.11
6.24,8.12
6.26,8.14
6.28,8.18
6.3,8.19
6.32,8.22
6.34,8.24
6.36,8.28
6.38,8.29
6.4,8.34
6.42,8.33
6.44,8.35
6.46,8.36
6.48,8.4
6.5,8.43
6.52,8.44
6.54,8.46
6.56,8.48
6.58,8.49
6.6,8.54
6.62,8.54
6.64,8.56
6.66,8.59
6.68,8.58
6.7,8.61
6.72,8.69
6.74,8.69
